date	build-basic	qa-accuracy	resolve-precision	exec-decompose	pm-planning	total_keeps	total_reverts	notes
2026-03-22	0.000	0.000	0.000	0.000	0.000	0	2	ok
2026-03-23	1.000	1.000	1.000	1.000	1.000	0	19	ok
